name,bench,score
"Miami",11,0
"50ms or die.",15,1851.0
"Noder",25,36464.0
"LINE選抜「チーム生ハム原木」",25,177290.0
"白金動物園",27,9935.9
"( (0) / (0)) ☆祝☆",28,0
":ok_woman:",28,0
"山形組",31,18057.9
"くらげとみかんと江戸幕府",34,20453.7
"銀杏絶滅しろ",34,15370.5
"ぜかまし",40,9444.2
"チームぽわわ2",40,0
"かまたまうどん",40,0
"勝浦タンタンメン",41,0
"カヤック選抜「流れ弾」",42,0
"オシャレ怪盗スワロウテイル",43,42463.4
"Third Party Cookies",43,4177.8
"坂パスタ",46,4844.1
"チームたこやき",50,10987.1
"└('-'└)└)└)＜HEARTBEATS",50,3710.6
"335",57,0
"The Revenge of Mr. Frank & Co.",57,0
"Fulab",62,29193.7
"潰すつもりで来てください",62,0
"進撃の超大型パティスリー兄弟",71,0
